id,policy,trials,accept_count,acceptance_rate,interval_lower,interval_upper,population_decision,certified_at_panel_size,panel_size,delta,estimation_status,decision_changed_from_declared,certification_changed_from_declared
pms-04,declared_map_to_reject,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pms-04,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
pms-04,successes_only,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ref-01,declared_map_to_reject,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ref-01,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ref-01,successes_only,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ref-02,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ref-02,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ref-02,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ref-03,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ref-03,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ref-03,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ref-04,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ref-04,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ref-04,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
sla-01,declared_map_to_reject,40,39,0.975,0.7811454507852811,0.999984370237298,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
sla-01,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
sla-01,successes_only,39,39,1.0,0.8276430593038838,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
sla-02,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
sla-02,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
sla-02,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
sla-03,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
sla-03,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
sla-03,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
sla-04,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
sla-04,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
sla-04,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
